,Unnamed: 0,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL,type_Public,combined_25_5,combined_50_10,combined_5_1,combined_10_2,combined_<5_1,prop_high_speed,CENSUS_ID,MEDIAN_INCOME,LOG_MEDIAN_INCOME
22,114,2019/2020,2323080,George Elliot Secondary,23,Central Okanagan,Public,10241 Bottom Wood Lake Rd,Winfield,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,50.03038078,-119.400767,2019,Winfield,Gr 12 enrolment: 161,0.3,13.1,0.0,71.7,4.5,98.6,3.0,7.1,1,0.02839396628216504,0.9667258207630879,0.0026619343389529724,0.00044365572315882877,0.001774622892635315,0.995119787045253,5935016,83243,11.32951932022334
23,119,2019/2020,2396013,Immaculata Regional High School,23,Central Okanagan,Independent,1493 K.L.O. Rd,Kelowna,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.86037865,-119.4656809,2019,Kelowna,Gr 12 enrolment: 45,0.4,6.3,0.8,74.4,2.6,97.7,0.0,7.9,0,0.0017809439002671415,0.9982190560997328,0.0,0.0,0.0,1.0,5935010,68627,11.136441322285153
24,124,2019/2020,2396825,Aberdeen Hall Senior,23,Central Okanagan,Independent,890 Academy Way,Kelowna,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.9345587,-119.4026296,2019,Kelowna,Gr 12 enrolment: 44,0.0,9.7,0.0,74.7,2.4,100.0,3.5,7.9,0,0.02055877701634159,0.9757511860832894,0.0005271481286241434,0.0031628887717448603,0.0,0.9963099630996309,5935010,68627,11.136441322285153
25,129,2019/2020,2727056,Peter Skene Ogden Secondary,27,Cariboo-Chilcotin,Public,PO Box 910,100 Mile House,Standard School                         ,SECONDARY,YES,YES,NO,NO,51.637295,-121.3017027,2019,100 Mile House,Gr 12 enrolment: 127,2.9,12.7,8.4,66.0,8.5,96.9,31.5,4.9,1,0.333505021890291,0.22147823847540563,0.03579706412567602,0.1321143445789338,0.0012876641771825909,0.5549832603656967,5941005,43136,10.67211319427198
26,134,2019/2020,2727072,Lake City Secondary,27,Cariboo-Chilcotin,Public,640 Carson Drive,Williams Lake,Standard School                         ,ELEMENTARY SECONDARY,YES,YES,NO,NO,52.13645719,-122.1407661,2019,Williams Lake,Gr 12 enrolment: 212,5.8,9.8,3.8,69.2,7.2,90.7,23.2,5.8,1,0.0724269377382465,0.47878017789072425,0.06175349428208386,0.0025412960609911056,0.03202033036848793,0.5512071156289707,5941009,68831,11.13940950383547
27,139,2019/2020,2828034,Correlieu Secondary School,28,Quesnel,Public,850 Anderson Dr,Quesnel,Standard School                         ,SECONDARY,YES,YES,NO,NO,52.96707585,-122.5165789,2019,Quesnel,Gr 12 enrolment: 223,0.0,14.3,3.2,65.0,10.4,97.1,24.8,5.5,1,0.32036180058897773,0.5159865376525031,0.00357593605384939,0.0,0.002103491796381994,0.8363483382414809,5941013,59088,10.986783137092344
28,144,2019/2020,3333012,Chilliwack Secondary,33,Chilliwack,Public,46363 Yale Rd,Chilliwack,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.17662007,-121.942509,2019,Chilliwack,Gr 12 enrolment: 391,2.0,15.8,0.0,67.1,9.1,93.7,28.8,5.0,1,0.05213730569948186,0.9245466321243523,0.0025906735751295338,0.0,0.006476683937823834,0.9766839378238341,5909020,67800,11.124317473928487
29,149,2019/2020,3333018,Sardis Secondary,33,Chilliwack,Public,45460 Stevenson Rd,Chilliwack,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.12166539,-121.9675885,2019,Chilliwack,Gr 12 enrolment: 410,1.1,12.4,16.9,68.6,7.1,99.2,4.2,6.8,1,0.10063224446786091,0.898840885142255,0.0005268703898840885,0.0,0.0,0.9994731296101159,5909020,67800,11.124317473928487
30,154,2019/2020,3333044,GW Graham Secondary,33,Chilliwack,Public,45955 Thomas Rd,Chilliwack,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.10743438,-121.9529557,2019,Chilliwack,Gr 12 enrolment: 228,0.7,13.1,0.0,70.2,5.0,94.8,9.3,6.0,1,0.1048723897911833,0.8366589327146172,0.04083526682134571,0.0,0.008816705336426913,0.9415313225058005,5909020,67800,11.124317473928487
31,159,2019/2020,3434022,Abbotsford Senior Secondary School,34,Abbotsford,Public,33355 Bevan  Ave,Abbotsford,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.04359461,-122.3001517,2019,Abbotsford,Gr 12 enrolment: 272,4.1,12.2,0.0,64.9,13.5,95.1,13.3,5.4,1,0.0,1.0,0.0,0.0,0.0,1.0,5909052,72511,11.191493553471755
32,164,2019/2020,3434038,Yale Secondary,34,Abbotsford,Public,34620 Old Yale Rd,Abbotsford,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.0479384,-122.264393,2019,Abbotsford,Gr 12 enrolment: 325,0.9,11.1,0.0,70.9,7.2,98.0,0.0,6.8,1,0.046618516086671044,0.9481286933683519,0.0006565988181221273,0.0,0.0,0.9947472094550229,5909052,72511,11.191493553471755
