,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,SCHOOL_TYPE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL
20,2019/2020,603008,Selkirk Secondary School,6,Rocky Mountain,Public,405 Halpin St,Kimberley,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.68724493,-115.9798422,Public,2015,Kimberley,Gr 12 enrolment: 68,0.0,10.1,0.0,72.0,4.2,98.6,6.5,7.2
21,2019/2020,603008,Selkirk Secondary School,6,Rocky Mountain,Public,405 Halpin St,Kimberley,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.68724493,-115.9798422,Public,2016,Kimberley,Gr 12 enrolment: 68,0.0,10.1,0.0,70.5,7.7,96.5,5.3,6.8
22,2019/2020,603008,Selkirk Secondary School,6,Rocky Mountain,Public,405 Halpin St,Kimberley,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.68724493,-115.9798422,Public,2017,Kimberley,Gr 12 enrolment: 68,0.0,10.1,0.0,66.3,10.3,96.4,7.2,5.5
23,2019/2020,603008,Selkirk Secondary School,6,Rocky Mountain,Public,405 Halpin St,Kimberley,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.68724493,-115.9798422,Public,2018,Kimberley,Gr 12 enrolment: 68,0.0,10.1,0.0,70.9,7.0,98.7,4.7,6.2
24,2019/2020,603008,Selkirk Secondary School,6,Rocky Mountain,Public,405 Halpin St,Kimberley,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.68724493,-115.9798422,Public,2019,Kimberley,Gr 12 enrolment: 68,0.0,10.1,0.0,68.3,7.4,98.4,10.7,6.3
25,2019/2020,604015,David Thompson Secondary,6,Rocky Mountain,Public,1535 14th St Unit 1 RR 4,Invermere,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.5022144,-116.0411422,Public,2015,Invermere,Gr 12 enrolment: 70,0.7,8.8,0.0,67.8,10.3,98.7,3.0,6.6
26,2019/2020,604015,David Thompson Secondary,6,Rocky Mountain,Public,1535 14th St Unit 1 RR 4,Invermere,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.5022144,-116.0411422,Public,2016,Invermere,Gr 12 enrolment: 70,0.7,8.8,0.0,66.0,14.4,98.5,11.4,5.6
27,2019/2020,604015,David Thompson Secondary,6,Rocky Mountain,Public,1535 14th St Unit 1 RR 4,Invermere,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.5022144,-116.0411422,Public,2017,Invermere,Gr 12 enrolment: 70,0.7,8.8,0.0,67.8,4.1,96.9,9.8,7.3
28,2019/2020,604015,David Thompson Secondary,6,Rocky Mountain,Public,1535 14th St Unit 1 RR 4,Invermere,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.5022144,-116.0411422,Public,2018,Invermere,Gr 12 enrolment: 70,0.7,8.8,0.0,72.4,0.0,98.6,7.8,7.6
29,2019/2020,604015,David Thompson Secondary,6,Rocky Mountain,Public,1535 14th St Unit 1 RR 4,Invermere,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.5022144,-116.0411422,Public,2019,Invermere,Gr 12 enrolment: 70,0.7,8.8,0.0,67.2,10.5,100.0,16.8,5.9
