,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME_x,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,SCHOOL_NAME_y,SCHOOL_TYPE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL
1426,2019/2020,3996732,Shalhevet Girls High School,39,Vancouver,Independent,785 16th Ave W,Vancouver,Standard School                         ,SECONDARY,NO,NO,NO,NO,49.23346984,-123.1275959,s,Independent,2019,Vancouver,47,0.0,7.2,0.0,74.4,4.3,100.0,0.0,8.6
1427,2019/2020,3996732,Shalhevet Girls High School,39,Vancouver,Independent,785 16th Ave W,Vancouver,Standard School                         ,SECONDARY,NO,NO,NO,NO,49.23346984,-123.1275959,s,Independent,2019,Vancouver,101,0.0,14.1,0.0,66.7,10.4,100.0,2.2,5.3
1437,2019/2020,3996733,Pattison High School,39,Vancouver,Independent,981 Nelson St,Vancouver,Standard School                         ,SECONDARY,NO,NO,NO,NO,49.2808207,-123.1249508,s,Independent,2019,Vancouver,162,0.0,3.1,0.0,80.6,0.0,100.0,1.3,9.4
1438,2019/2020,3996733,Pattison High School,39,Vancouver,Independent,981 Nelson St,Vancouver,Standard School                         ,SECONDARY,NO,NO,NO,NO,49.2808207,-123.1249508,s,Independent,2019,Vancouver,47,0.0,7.2,0.0,74.4,4.3,100.0,0.0,8.6
1439,2019/2020,3996733,Pattison High School,39,Vancouver,Independent,981 Nelson St,Vancouver,Standard School                         ,SECONDARY,NO,NO,NO,NO,49.2808207,-123.1249508,s,Independent,2019,Vancouver,101,0.0,14.1,0.0,66.7,10.4,100.0,2.2,5.3
1449,2019/2020,3996764,Eaton Arrowsmith School,39,Vancouver,Independent,204-6190 Agronomy Rd,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.2611806,-123.246219,s,Independent,2019,Vancouver,162,0.0,3.1,0.0,80.6,0.0,100.0,1.3,9.4
1450,2019/2020,3996764,Eaton Arrowsmith School,39,Vancouver,Independent,204-6190 Agronomy Rd,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.2611806,-123.246219,s,Independent,2019,Vancouver,47,0.0,7.2,0.0,74.4,4.3,100.0,0.0,8.6
1451,2019/2020,3996764,Eaton Arrowsmith School,39,Vancouver,Independent,204-6190 Agronomy Rd,Vancouver,Standard School                         ,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.2611806,-123.246219,s,Independent,2019,Vancouver,101,0.0,14.1,0.0,66.7,10.4,100.0,2.2,5.3
1509,2019/2020,3996925,Canada Royal Arts High School,39,Vancouver,Independent,896 West 8th Ave,Vancouver,Standard School                         ,SECONDARY,NO,NO,NO,NO,49.26412205,-123.123776,s,Independent,2019,Vancouver,162,0.0,3.1,0.0,80.6,0.0,100.0,1.3,9.4
1510,2019/2020,3996925,Canada Royal Arts High School,39,Vancouver,Independent,896 West 8th Ave,Vancouver,Standard School                         ,SECONDARY,NO,NO,NO,NO,49.26412205,-123.123776,s,Independent,2019,Vancouver,47,0.0,7.2,0.0,74.4,4.3,100.0,0.0,8.6
1511,2019/2020,3996925,Canada Royal Arts High School,39,Vancouver,Independent,896 West 8th Ave,Vancouver,Standard School                         ,SECONDARY,NO,NO,NO,NO,49.26412205,-123.123776,s,Independent,2019,Vancouver,101,0.0,14.1,0.0,66.7,10.4,100.0,2.2,5.3
1521,2019/2020,3996944,St Regis Secondary School,39,Vancouver,Independent,2140 41st Ave W,Vancouver,Standard School                         ,SECONDARY,NO,NO,NO,NO,49.23443362,-123.1568809,s,Independent,2019,Vancouver,162,0.0,3.1,0.0,80.6,0.0,100.0,1.3,9.4
1522,2019/2020,3996944,St Regis Secondary School,39,Vancouver,Independent,2140 41st Ave W,Vancouver,Standard School                         ,SECONDARY,NO,NO,NO,NO,49.23443362,-123.1568809,s,Independent,2019,Vancouver,47,0.0,7.2,0.0,74.4,4.3,100.0,0.0,8.6
1523,2019/2020,3996944,St Regis Secondary School,39,Vancouver,Independent,2140 41st Ave W,Vancouver,Standard School                         ,SECONDARY,NO,NO,NO,NO,49.23443362,-123.1568809,s,Independent,2019,Vancouver,101,0.0,14.1,0.0,66.7,10.4,100.0,2.2,5.3
1899,2019/2020,6196008,St Michaels University School - Senior,61,Greater Victoria,Independent,3400 Richmond Rd,Victoria,Standard School                         ,SECONDARY,YES,NO,NO,NO,48.45210537,-123.3285068,s,Independent,2019,Victoria,68,0.0,10.5,0.0,67.0,9.4,100.0,1.3,5.7
1900,2019/2020,6196008,St Michaels University School - Senior,61,Greater Victoria,Independent,3400 Richmond Rd,Victoria,Standard School                         ,SECONDARY,YES,NO,NO,NO,48.45210537,-123.3285068,s,Independent,2019,Victoria,27,31.6,6.6,0.0,67.7,13.3,100.0,,6.1
1904,2019/2020,6196010,St Margaret's,61,Greater Victoria,Independent,1080 Lucas Ave,Victoria,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,48.48046821,-123.3637144,s,Independent,2019,Victoria,68,0.0,10.5,0.0,67.0,9.4,100.0,1.3,5.7
1905,2019/2020,6196010,St Margaret's,61,Greater Victoria,Independent,1080 Lucas Ave,Victoria,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,48.48046821,-123.3637144,s,Independent,2019,Victoria,27,31.6,6.6,0.0,67.7,13.3,100.0,,6.1
1914,2019/2020,6196084,Pacific Christian School,61,Greater Victoria,Independent,654 Agnes St,Victoria,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,48.47319618,-123.3843328,s,Independent,2019,Victoria,68,0.0,10.5,0.0,67.0,9.4,100.0,1.3,5.7
1915,2019/2020,6196084,Pacific Christian School,61,Greater Victoria,Independent,654 Agnes St,Victoria,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,48.47319618,-123.3843328,s,Independent,2019,Victoria,27,31.6,6.6,0.0,67.7,13.3,100.0,,6.1
1919,2019/2020,6196265,Discovery School,61,Greater Victoria,Independent,4052 Wilkinson Rd,Victoria,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,48.47548174,-123.4132093,s,Independent,2019,Victoria,68,0.0,10.5,0.0,67.0,9.4,100.0,1.3,5.7
1920,2019/2020,6196265,Discovery School,61,Greater Victoria,Independent,4052 Wilkinson Rd,Victoria,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,48.47548174,-123.4132093,s,Independent,2019,Victoria,27,31.6,6.6,0.0,67.7,13.3,100.0,,6.1
1924,2019/2020,6196341,St Andrew's Regional High,61,Greater Victoria,Independent,880 Mckenzie Ave,Victoria,Standard School                         ,SECONDARY,YES,NO,NO,NO,48.46930191,-123.3741777,s,Independent,2019,Victoria,68,0.0,10.5,0.0,67.0,9.4,100.0,1.3,5.7
1925,2019/2020,6196341,St Andrew's Regional High,61,Greater Victoria,Independent,880 Mckenzie Ave,Victoria,Standard School                         ,SECONDARY,YES,NO,NO,NO,48.46930191,-123.3741777,s,Independent,2019,Victoria,27,31.6,6.6,0.0,67.7,13.3,100.0,,6.1
1929,2019/2020,6196347,Selkirk Montessori School,61,Greater Victoria,Independent,2970 Jutland Rd,Victoria,Standard School                         ,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,48.44079577,-123.3786069,s,Independent,2019,Victoria,68,0.0,10.5,0.0,67.0,9.4,100.0,1.3,5.7
1930,2019/2020,6196347,Selkirk Montessori School,61,Greater Victoria,Independent,2970 Jutland Rd,Victoria,Standard School                         ,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,48.44079577,-123.3786069,s,Independent,2019,Victoria,27,31.6,6.6,0.0,67.7,13.3,100.0,,6.1
1939,2019/2020,6196427,Maria Montessori Academy,61,Greater Victoria,Independent,991 Ambassador Ave,Victoria,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,48.47379443,-123.3187349,s,Independent,2019,Victoria,68,0.0,10.5,0.0,67.0,9.4,100.0,1.3,5.7
1940,2019/2020,6196427,Maria Montessori Academy,61,Greater Victoria,Independent,991 Ambassador Ave,Victoria,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,48.47379443,-123.3187349,s,Independent,2019,Victoria,27,31.6,6.6,0.0,67.7,13.3,100.0,,6.1
1944,2019/2020,6196520,Christ Church Cathedral School,61,Greater Victoria,Independent,912 Vancouver St,Victoria,Standard School                         ,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,48.4222074,-123.3577623,s,Independent,2019,Victoria,68,0.0,10.5,0.0,67.0,9.4,100.0,1.3,5.7
1945,2019/2020,6196520,Christ Church Cathedral School,61,Greater Victoria,Independent,912 Vancouver St,Victoria,Standard School                         ,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,48.4222074,-123.3577623,s,Independent,2019,Victoria,27,31.6,6.6,0.0,67.7,13.3,100.0,,6.1
1954,2019/2020,6196827,Artemis Place Secondary,61,Greater Victoria,Independent,3020 Richmond Rd,Victoria,Standard School                         ,SECONDARY,NO,NO,NO,NO,48.44419577,-123.3274726,s,Independent,2019,Victoria,68,0.0,10.5,0.0,67.0,9.4,100.0,1.3,5.7
1955,2019/2020,6196827,Artemis Place Secondary,61,Greater Victoria,Independent,3020 Richmond Rd,Victoria,Standard School                         ,SECONDARY,NO,NO,NO,NO,48.44419577,-123.3274726,s,Independent,2019,Victoria,27,31.6,6.6,0.0,67.7,13.3,100.0,,6.1
1964,2019/2020,6196891,ArtsCalibre Academy,61,Greater Victoria,Independent,4201 Tyndall Ave,Victoria,Standard School                         ,ELEMENTARY JR SECONDARY,NO,NO,NO,NO,48.4801966,-123.322221,s,Independent,2019,Victoria,68,0.0,10.5,0.0,67.0,9.4,100.0,1.3,5.7
1965,2019/2020,6196891,ArtsCalibre Academy,61,Greater Victoria,Independent,4201 Tyndall Ave,Victoria,Standard School                         ,ELEMENTARY JR SECONDARY,NO,NO,NO,NO,48.4801966,-123.322221,s,Independent,2019,Victoria,27,31.6,6.6,0.0,67.7,13.3,100.0,,6.1
1969,2019/2020,6296432,West-Mont School,62,Sooke,Independent,4075 Metchosin Rd,Victoria,Standard School                         ,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,48.38959672,-123.5222942,s,Independent,2019,Victoria,68,0.0,10.5,0.0,67.0,9.4,100.0,1.3,5.7
1970,2019/2020,6296432,West-Mont School,62,Sooke,Independent,4075 Metchosin Rd,Victoria,Standard School                         ,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,48.38959672,-123.5222942,s,Independent,2019,Victoria,27,31.6,6.6,0.0,67.7,13.3,100.0,,6.1
1974,2019/2020,6296461,Lighthouse Christian Academy,62,Sooke,Independent,1289 Parkdale Dr,Victoria,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,48.43803394,-123.5329957,s,Independent,2019,Victoria,68,0.0,10.5,0.0,67.0,9.4,100.0,1.3,5.7
1975,2019/2020,6296461,Lighthouse Christian Academy,62,Sooke,Independent,1289 Parkdale Dr,Victoria,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,48.43803394,-123.5329957,s,Independent,2019,Victoria,27,31.6,6.6,0.0,67.7,13.3,100.0,,6.1
1979,2019/2020,6296945,Brookes Westshore,62,Sooke,Independent,1939 Sooke Rd,Victoria,Standard School                         ,ELEMENTARY SECONDARY,NO,NO,NO,NO,48.44014015,-123.4742159,s,Independent,2019,Victoria,68,0.0,10.5,0.0,67.0,9.4,100.0,1.3,5.7
1980,2019/2020,6296945,Brookes Westshore,62,Sooke,Independent,1939 Sooke Rd,Victoria,Standard School                         ,ELEMENTARY SECONDARY,NO,NO,NO,NO,48.44014015,-123.4742159,s,Independent,2019,Victoria,27,31.6,6.6,0.0,67.7,13.3,100.0,,6.1
1984,2019/2020,6396127,Lakeview Christian School,63,Saanich,Independent,729 Cordova Bay Rd,Victoria,Standard School                         ,ELEMENTARY JR SECONDARY,NO,NO,NO,NO,48.5321895,-123.3855671,s,Independent,2019,Victoria,68,0.0,10.5,0.0,67.0,9.4,100.0,1.3,5.7
1985,2019/2020,6396127,Lakeview Christian School,63,Saanich,Independent,729 Cordova Bay Rd,Victoria,Standard School                         ,ELEMENTARY JR SECONDARY,NO,NO,NO,NO,48.5321895,-123.3855671,s,Independent,2019,Victoria,27,31.6,6.6,0.0,67.7,13.3,100.0,,6.1
1988,2019/2020,6363020,Stelly's Secondary,63,Saanich,Public,1627 Stellys Cross Rd,Saanichton,Standard School                         ,SECONDARY,YES,YES,NO,NO,48.57851774,-123.432356,s,Public,2019,Saanichton,191,1.2,11.6,26.2,70.4,7.4,97.7,4.4,6.3
1995,2019/2020,6715008,Princess Margaret Secondary,67,Okanagan Skaha,Public,120 Green Ave W,Penticton,Standard School                         ,SECONDARY,YES,NO,NO,NO,49.46275631,-119.5835755,Princess Margaret,Public,2019,Penticton,113,0.0,14.1,0.0,69.1,8.1,99.0,3.5,5.5
