,SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME_x,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE,SCHOOL_NAME_y,SCHOOL_TYPE,YEAR,LOCATION,ENROLMENT,PERCENT_ESL,PERCENT_SPECIAL_NEEDS,PERCENT_FRENCH_IMM,AVERAGE_EXAM_MARK,PERCENT_EXAMS_FAILED,PERCENT_GRAD,PERCENT_DELAYED,OVERALL,SCHOOL_NAME_y
52,2019/2020,1919003,Revelstoke Secondary,19,Revelstoke,Public,Bag 5100,Revelstoke,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.9910745,-118.1988367,Revelstoke,Public,2017,Revelstoke,Gr 12 enrolment: 88,0.8,20.3,0.0,67.1,1.8,100.0,14.2,7.6,Revelstoke
53,2019/2020,1919003,Revelstoke Secondary,19,Revelstoke,Public,Bag 5100,Revelstoke,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.9910745,-118.1988367,Revelstoke,Public,2018,Revelstoke,Gr 12 enrolment: 88,0.8,20.3,0.0,74.2,0.0,100.0,13.5,8.0,Revelstoke
54,2019/2020,1919003,Revelstoke Secondary,19,Revelstoke,Public,Bag 5100,Revelstoke,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.9910745,-118.1988367,Revelstoke,Public,2019,Revelstoke,Gr 12 enrolment: 88,0.8,20.3,0.0,72.4,0.0,100.0,14.3,7.7,Revelstoke
55,2019/2020,2009010,Stanley Humphries Secondary,20,Kootenay-Columbia,Public,720 7 Ave,Castlegar,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.3200625,-117.661008,Stanley Humphries,Public,2015,Castlegar,Gr 12 enrolment: 110,0.0,14.3,19.0,65.8,11.8,97.9,11.1,5.4,Stanley Humphries
56,2019/2020,2009010,Stanley Humphries Secondary,20,Kootenay-Columbia,Public,720 7 Ave,Castlegar,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.3200625,-117.661008,Stanley Humphries,Public,2016,Castlegar,Gr 12 enrolment: 110,0.0,14.3,19.0,66.8,11.6,99.1,15.2,6.0,Stanley Humphries
57,2019/2020,2009010,Stanley Humphries Secondary,20,Kootenay-Columbia,Public,720 7 Ave,Castlegar,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.3200625,-117.661008,Stanley Humphries,Public,2017,Castlegar,Gr 12 enrolment: 110,0.0,14.3,19.0,68.6,3.8,96.3,13.5,7.1,Stanley Humphries
58,2019/2020,2009010,Stanley Humphries Secondary,20,Kootenay-Columbia,Public,720 7 Ave,Castlegar,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.3200625,-117.661008,Stanley Humphries,Public,2018,Castlegar,Gr 12 enrolment: 110,0.0,14.3,19.0,68.2,11.3,94.1,12.2,5.2,Stanley Humphries
59,2019/2020,2009010,Stanley Humphries Secondary,20,Kootenay-Columbia,Public,720 7 Ave,Castlegar,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.3200625,-117.661008,Stanley Humphries,Public,2019,Castlegar,Gr 12 enrolment: 110,0.0,14.3,19.0,67.6,8.4,100.0,0.2,5.4,Stanley Humphries
60,2019/2020,2011012,J Lloyd Crowe Secondary,20,Kootenay-Columbia,Public,1300 Frances Moran Rd,Trail,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.10215924,-117.6980923,J Lloyd Crowe,Public,2015,Trail,Gr 12 enrolment: 172,0.0,10.2,5.5,67.7,10.3,98.3,6.4,6.6,J Lloyd Crowe
61,2019/2020,2011012,J Lloyd Crowe Secondary,20,Kootenay-Columbia,Public,1300 Frances Moran Rd,Trail,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.10215924,-117.6980923,J Lloyd Crowe,Public,2016,Trail,Gr 12 enrolment: 172,0.0,10.2,5.5,69.3,7.3,100.0,6.1,7.1,J Lloyd Crowe
62,2019/2020,2011012,J Lloyd Crowe Secondary,20,Kootenay-Columbia,Public,1300 Frances Moran Rd,Trail,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.10215924,-117.6980923,J Lloyd Crowe,Public,2017,Trail,Gr 12 enrolment: 172,0.0,10.2,5.5,70.0,3.9,95.0,10.7,7.5,J Lloyd Crowe
63,2019/2020,2011012,J Lloyd Crowe Secondary,20,Kootenay-Columbia,Public,1300 Frances Moran Rd,Trail,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.10215924,-117.6980923,J Lloyd Crowe,Public,2018,Trail,Gr 12 enrolment: 172,0.0,10.2,5.5,73.1,4.6,96.5,10.5,7.2,J Lloyd Crowe
64,2019/2020,2011012,J Lloyd Crowe Secondary,20,Kootenay-Columbia,Public,1300 Frances Moran Rd,Trail,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.10215924,-117.6980923,J Lloyd Crowe,Public,2019,Trail,Gr 12 enrolment: 172,0.0,10.2,5.5,72.2,0.7,98.8,3.3,8.0,J Lloyd Crowe
