SCHOOL_YEAR,SCHOOL_NUMBER,SCHOOL_NAME,DISTRICT_NUMBER,DISTRICT_NAME,PUBLIC_OR_INDEPENDENT,STREET_ADDRESS,PHYSICAL_ADDRESS_CITY,FACILTY_TYPE,SCHOOL_EDUCATION_LEVEL,HAS_CORE_FRENCH,HAS_EARLY_FRENCH_IMMERSION,HAS_LATE_FRENCH_IMMERSION,HAS_PROG_FRANCOPHONE,SCHOOL_LATITUDE,SCHOOL_LONGITUDE
2019/2020,896749,CHEK-ABC,008,Kootenay Lake,Independent School,810 Tenth St,Nelson                        ,Distributed Learning Programs           ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.5055444,-117.2683138
2019/2020,896864,Kootenay Valley Christian School,008,Kootenay Lake,Independent School,1152 21 Hwy N,Creston                       ,Standard School                         ,ELEMENTARY JR SECONDARY,NO,NO,NO,NO,49.10825496,-116.5263681
2019/2020,897558,Yaqan Nukiy School,008,Kootenay Lake,Independent School,904 Simon Rd,Creston                       ,Standard School                         ,ELEMENTARY,NO,NO,NO,NO,49.0663,-116.515592
2019/2020,898001,Distance Ed School of the Kootenays,008,Kootenay Lake,Public School,811 Stanley St,Nelson                        ,Distributed Learning Programs           ,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.48906368,-117.2922336
2019/2020,899178,Wildflower,008,Kootenay Lake,Public School,811 Stanley St,Nelson                        ,Standard School                         ,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,49.48906368,-117.2922336
2019/2020,899225,REACH,008,Kootenay Lake,Public School,1004 Cottonwood St,Nelson                        ,Alternate Programs                      ,SECONDARY,NO,NO,NO,NO,49.48906368,-117.2922336
2019/2020,899291,Homelinks - Nelson,008,Kootenay Lake,Public School,814 Latimer St,Nelson                        ,Distributed Learning Programs           ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.48948972,-117.2856372
2019/2020,899292,Homelinks - Kaslo,008,Kootenay Lake,Public School,PO Box 577,Kaslo                         ,Distributed Learning Programs           ,ELEMENTARY JR SECONDARY,YES,NO,NO,NO,49.91218,-116.91124
2019/2020,899298,Sequoia Centre,008,Kootenay Lake,Public School,PO Box 99,South Slocan                  ,Alternate Programs                      ,SECONDARY,NO,NO,NO,NO,49.45019892,-117.5598163
2019/2020,1010002,Burton Elementary,010,Arrow Lakes,Public School,PO Box 3,Burton                        ,Standard School                         ,ELEMENTARY,NO,NO,NO,NO,49.99285486,-117.8758814
2019/2020,1010003,Edgewood Elementary,010,Arrow Lakes,Public School,PO Box 129,Edgewood                      ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.78137289,-118.146794
2019/2020,1010004,Nakusp Elementary,010,Arrow Lakes,Public School,PO Box 250,Nakusp                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,50.2442064,-117.803489
2019/2020,1010006,Nakusp Secondary,010,Arrow Lakes,Public School,PO Box 249,Nakusp                        ,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.24427173,-117.8050931
2019/2020,1010011,Lucerne Elem-Secondary,010,Arrow Lakes,Public School,PO Box 130,New Denver                    ,Standard School                         ,ELEMENTARY SECONDARY,YES,NO,NO,NO,49.9926095,-117.3702659
2019/2020,1010012,Burton Academy School,010,Arrow Lakes,Public School,PO Box 249,Nakusp                        ,Standard School                         ,JUNIOR SECONDARY,NO,NO,NO,NO,49.99285486,-117.8758814
2019/2020,1099217,Arrow Lakes Distributed Learning,010,Arrow Lakes,Public School,Po Box 130,New Denver                    ,Distributed Learning Programs           ,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.9926095,-117.3702659
2019/2020,1919003,Revelstoke Secondary,019,Revelstoke,Public School,Bag 5100,Revelstoke                    ,Standard School                         ,SECONDARY,YES,NO,NO,NO,50.9910745,-118.1988367
2019/2020,1919013,Columbia Park Elementary,019,Revelstoke,Public School,Bag 7200,Revelstoke                    ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,51.0145631,-118.2185754
2019/2020,1919015,Arrow Heights Elementary,019,Revelstoke,Public School,PO Bag 7400,Revelstoke                    ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,50.9769241,-118.1777034
2019/2020,1919016,Begbie View Elementary,019,Revelstoke,Public School,PO Bag 7100,Revelstoke                    ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,50.9921652,-118.202174
2019/2020,2009006,Kinnaird Elementary,020,Kootenay-Columbia,Public School,2273 10 Ave,Castlegar                     ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.28794865,-117.653505
2019/2020,2009010,Stanley Humphries Secondary,020,Kootenay-Columbia,Public School,720 7 Ave,Castlegar                     ,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.3200625,-117.661008
2019/2020,2009011,Twin Rivers Elementary,020,Kootenay-Columbia,Public School,649 7 Ave,Castlegar                     ,Standard School                         ,ELEMENTARY,YES,YES,YES,NO,49.32092092,-117.6592113
2019/2020,2011005,Fruitvale Elementary,020,Kootenay-Columbia,Public School,1867 W Columbia Gdns Rd B580,Fruitvale                     ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.1119,-117.546
2019/2020,2011009,James L Webster Elementary,020,Kootenay-Columbia,Public School,395 Schofield Hwy,Trail                         ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.09578985,-117.7443085
2019/2020,2011012,J Lloyd Crowe Secondary,020,Kootenay-Columbia,Public School,1300 Frances Moran Rd,Trail                         ,Standard School                         ,SECONDARY,YES,YES,NO,NO,49.10215924,-117.6980923
2019/2020,2011014,Rossland Summit School,020,Kootenay-Columbia,Public School,Drawer 1269,Rossland                      ,Standard School                         ,ELEMENTARY JR SECONDARY,YES,YES,YES,NO,49.0807562,-117.7992667
2019/2020,2011015,Glenmerry Elementary,020,Kootenay-Columbia,Public School,3660 Carnation Dr,Trail                         ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.09888248,-117.6626554
2019/2020,2020021,Robson Community School,020,Kootenay-Columbia,Public School,PO Box 259,Robson                        ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.3354425,-117.6985053
2019/2020,2020023,Kootenay Columbia Secondary,020,Kootenay-Columbia,Public School,2001 Third Ave,Trail                         ,Standard School                         ,ELEMENTARY SECONDARY,NO,NO,NO,NO,49.09747688,-117.694185
2019/2020,2096098,St Michael's Elementary,020,Kootenay-Columbia,Independent School,1329 Fourth Ave,Trail                         ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,49.10147554,-117.7011838
2019/2020,2099137,Kootenay-Columbia Learning Centre,020,Kootenay-Columbia,Public School,2001 Third Ave,Trail                         ,Alternate Programs                      ,SECONDARY,NO,NO,NO,NO,49.09747688,-117.694185
2019/2020,2222000,Continuing Ed SD 22,022,Vernon,Public School,3033 30 St,Vernon                        ,Continuing Education                    ,SECONDARY,NO,NO,NO,NO,50.26627003,-119.2703377
2019/2020,2222001,Beairsto Elementary,022,Vernon,Public School,3302 27 St,Vernon                        ,Standard School                         ,ELEMENTARY,NO,YES,NO,NO,50.26665293,-119.2672552
2019/2020,2222002,Coldstream Elementary,022,Vernon,Public School,10104 Kalamalka Rd,Coldstream                    ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,50.22284068,-119.2328781
2019/2020,2222005,Cherryville Elementary,022,Vernon,Public School,108 North Fork Rd,Cherryville                   ,Standard School                         ,ELEMENTARY,YES,NO,NO,NO,50.243874,-118.6140151
